tip	date	distance	residual
Triniti|1973	1973.0	1.2642324430445195	-0.13226235903560957
Triniti|2014	2014.0	1.2604244330445196	0.0480887340511964
Triniti|1955	1955.0	1.2198242130445194	-0.2575209269761598
Boraceia|1965	1965.0	1.4624651630445193	0.03003687743525707
Anopheles_B|1940	1940.0	1.4849529730445195	-0.0597674485932842
Boraceia|1962	1962.0	1.4876671130445194	0.041763771111831494
Tacaiuma|1955	1955.0	1.3736737830445194	-0.10367135697615981
Tacaiuma|1999	1999.0	1.3900155630445195	0.11030458243407182
Tacaiuma|1975	1975.0	1.2946250330445195	-0.09288639815332767
Anopheles_A|1940	1940.0	1.8624274730445192	0.3177070514067155
Las_Maloyas|1980	1980.0	1.6153180530445195	0.25026504905238167
Lukuni|1955	1955.0	1.4759486930445194	-0.0013964469761598153
Lukuni|1976	1976.0	1.5349632930445194	0.15194354728781412
Bangui|1970	1970.0	1.1306534530445194	-0.27931640535903535
Bangui|2017	2017.0	1.1420588330445194	-0.05680180962537995
Nyangole|2013	2013.0	1.2503408630445194	0.03351347861005438
Tataguine|1971	1971.0	1.3799455269554806	-0.02553264600693228
Tataguine|1966	1966.0	1.3919611869554807	-0.03597541321263975
Tataguine|1972	1972.0	1.3968560869554807	-0.004130400565790282
Tataguine|1979	1979.0	1.3976788069554806	0.028134117522200963
Tanga|1962	1962.0	1.5089591369554807	0.0630557950227928
Okola|1964	1964.0	1.2271900069554806	-0.2097299640949235
Bunyamwera|1943	1943.0	1.7154239369554807	0.18417857164110263
