taxon	accession	organism	serogroup
2107291L|Keystone_virus	2107291L	Keystone virus	California
ALD52504|Keystone_virus	ALD52504	Keystone virus	California
ALD52508|Keystone_virus	ALD52508	Keystone virus	California
QIM41042|Melao_virus	QIM41042	Melao virus	California
QIM58246|Melao_virus	QIM58246	Melao virus	California
QIM58244|Melao_virus	QIM58244	Melao virus	California
QIM58248|Melao_virus	QIM58248	Melao virus	California
APA28995|Melao_virus	APA28995	Melao virus	California
AAB60559|Melao_virus	AAB60559	Melao virus	California
2107291N|Melao_virus	2107291N	Melao virus	California
ADK36678|Jamestown_Canyon_virus	ADK36678	Jamestown Canyon virus	California
AIL54600|Jamestown_Canyon_virus	AIL54600	Jamestown Canyon virus	California
AIL54576|Jamestown_Canyon_virus	AIL54576	Jamestown Canyon virus	California
AIL54582|Jamestown_Canyon_virus	AIL54582	Jamestown Canyon virus	California
AIL54574|Jamestown_Canyon_virus	AIL54574	Jamestown Canyon virus	California
ABS29212|Jamestown_Canyon_virus	ABS29212	Jamestown Canyon virus	California
ABS29192|Jamestown_Canyon_virus	ABS29192	Jamestown Canyon virus	California
ABS29206|Jamestown_Canyon_virus	ABS29206	Jamestown Canyon virus	California
AIL54558|Jamestown_Canyon_virus	AIL54558	Jamestown Canyon virus	California
AIL54560|Jamestown_Canyon_virus	AIL54560	Jamestown Canyon virus	California
AIL54588|Jamestown_Canyon_virus	AIL54588	Jamestown Canyon virus	California
AIL54606|Jamestown_Canyon_virus	AIL54606	Jamestown Canyon virus	California
AIL54618|Jamestown_Canyon_virus	AIL54618	Jamestown Canyon virus	California
ABS29226|Jamestown_Canyon_virus	ABS29226	Jamestown Canyon virus	California
AIL54550|Jamestown_Canyon_virus	AIL54550	Jamestown Canyon virus	California
AIL54608|Jamestown_Canyon_virus	AIL54608	Jamestown Canyon virus	California
ABS29218|Jamestown_Canyon_virus	ABS29218	Jamestown Canyon virus	California
AIL54614|Jamestown_Canyon_virus	AIL54614	Jamestown Canyon virus	California
AIL54634|Jamestown_Canyon_virus	AIL54634	Jamestown Canyon virus	California
AIL54568|Jamestown_Canyon_virus	AIL54568	Jamestown Canyon virus	California
ABS29234|Jamestown_Canyon_virus	ABS29234	Jamestown Canyon virus	California
ABS29246|Jamestown_Canyon_virus	ABS29246	Jamestown Canyon virus	California
ABS29214|Jamestown_Canyon_virus	ABS29214	Jamestown Canyon virus	California
ABS29182|Jamestown_Canyon_virus	ABS29182	Jamestown Canyon virus	California
AIL54610|Jamestown_Canyon_virus	AIL54610	Jamestown Canyon virus	California
ABS29204|Jamestown_Canyon_virus	ABS29204	Jamestown Canyon virus	California
AIL54554|Jamestown_Canyon_virus	AIL54554	Jamestown Canyon virus	California
AIL54564|Jamestown_Canyon_virus	AIL54564	Jamestown Canyon virus	California
AIL54602|Jamestown_Canyon_virus	AIL54602	Jamestown Canyon virus	California
ABS29224|Jamestown_Canyon_virus	ABS29224	Jamestown Canyon virus	California
ABS29154|Jamestown_Canyon_virus	ABS29154	Jamestown Canyon virus	California
ABS29156|Jamestown_Canyon_virus	ABS29156	Jamestown Canyon virus	California
AIL54592|Jamestown_Canyon_virus	AIL54592	Jamestown Canyon virus	California
ABS29254|Jamestown_Canyon_virus	ABS29254	Jamestown Canyon virus	California
AIL54594|Jamestown_Canyon_virus	AIL54594	Jamestown Canyon virus	California
AIL54566|Jamestown_Canyon_virus	AIL54566	Jamestown Canyon virus	California
AIL54578|Jamestown_Canyon_virus	AIL54578	Jamestown Canyon virus	California
ABS29258|Jamestown_Canyon_virus	ABS29258	Jamestown Canyon virus	California
ABS29220|Jamestown_Canyon_virus	ABS29220	Jamestown Canyon virus	California
AIL54552|Jamestown_Canyon_virus	AIL54552	Jamestown Canyon virus	California
AIL54628|Jamestown_Canyon_virus	AIL54628	Jamestown Canyon virus	California
ABS29228|Jamestown_Canyon_virus	ABS29228	Jamestown Canyon virus	California
AIL54570|Jamestown_Canyon_virus	AIL54570	Jamestown Canyon virus	California
AIL54590|Jamestown_Canyon_virus	AIL54590	Jamestown Canyon virus	California
AIL54596|Jamestown_Canyon_virus	AIL54596	Jamestown Canyon virus	California
ABS29184|Jamestown_Canyon_virus	ABS29184	Jamestown Canyon virus	California
AIL54556|Jamestown_Canyon_virus	AIL54556	Jamestown Canyon virus	California
ABS29236|Jamestown_Canyon_virus	ABS29236	Jamestown Canyon virus	California
ABS29240|Jamestown_Canyon_virus	ABS29240	Jamestown Canyon virus	California
AIL54598|Jamestown_Canyon_virus	AIL54598	Jamestown Canyon virus	California
ABS29230|Jamestown_Canyon_virus	ABS29230	Jamestown Canyon virus	California
AIL54572|Jamestown_Canyon_virus	AIL54572	Jamestown Canyon virus	California
ABS29188|Jamestown_Canyon_virus	ABS29188	Jamestown Canyon virus	California
AIL54622|Jamestown_Canyon_virus	AIL54622	Jamestown Canyon virus	California
ABS29262|Jamestown_Canyon_virus	ABS29262	Jamestown Canyon virus	California
ABS29248|Jamestown_Canyon_virus	ABS29248	Jamestown Canyon virus	California
ABS29180|Jamestown_Canyon_virus	ABS29180	Jamestown Canyon virus	California
AIL54548|Jamestown_Canyon_virus	AIL54548	Jamestown Canyon virus	California
AIL54586|Jamestown_Canyon_virus	AIL54586	Jamestown Canyon virus	California
ABS29166|Jamestown_Canyon_virus	ABS29166	Jamestown Canyon virus	California
ABS29178|Jamestown_Canyon_virus	ABS29178	Jamestown Canyon virus	California
ABS29202|Jamestown_Canyon_virus	ABS29202	Jamestown Canyon virus	California
AIL54612|Jamestown_Canyon_virus	AIL54612	Jamestown Canyon virus	California
AIL54624|Jamestown_Canyon_virus	AIL54624	Jamestown Canyon virus	California
AIL54580|Jamestown_Canyon_virus	AIL54580	Jamestown Canyon virus	California
AIL54584|Jamestown_Canyon_virus	AIL54584	Jamestown Canyon virus	California
ABS29210|Jamestown_Canyon_virus	ABS29210	Jamestown Canyon virus	California
ABS29244|Jamestown_Canyon_virus	ABS29244	Jamestown Canyon virus	California
ABS29160|Jamestown_Canyon_virus	ABS29160	Jamestown Canyon virus	California
ABS29222|Jamestown_Canyon_virus	ABS29222	Jamestown Canyon virus	California
AIL54604|Jamestown_Canyon_virus	AIL54604	Jamestown Canyon virus	California
AIL54626|Jamestown_Canyon_virus	AIL54626	Jamestown Canyon virus	California
ABS29242|Jamestown_Canyon_virus	ABS29242	Jamestown Canyon virus	California
AXZ96244|Jamestown_Canyon_virus	AXZ96244	Jamestown Canyon virus	California
ABS29152|Jamestown_Canyon_virus	ABS29152	Jamestown Canyon virus	California
QRX38883|Jamestown_Canyon_virus	QRX38883	Jamestown Canyon virus	California
QRX38881|Jamestown_Canyon_virus	QRX38881	Jamestown Canyon virus	California
QRX38882|Jamestown_Canyon_virus	QRX38882	Jamestown Canyon virus	California
QRX38879|Jamestown_Canyon_virus	QRX38879	Jamestown Canyon virus	California
AIL54620|Jamestown_Canyon_virus	AIL54620	Jamestown Canyon virus	California
AIL54616|Jamestown_Canyon_virus	AIL54616	Jamestown Canyon virus	California
ADK36675|Jamestown_Canyon_virus	ADK36675	Jamestown Canyon virus	California
AAC54043|Jamestown_Canyon_virus	AAC54043	Jamestown Canyon virus	California
2107291G|Jamestown_Canyon_virus	2107291G	Jamestown Canyon virus	California
APA29011|Jamestown_Canyon_virus	APA29011	Jamestown Canyon virus	California
2107291A|Jamestown_Canyon_virus	2107291A	Jamestown Canyon virus	California
AAC54049|Jamestown_Canyon_virus	AAC54049	Jamestown Canyon virus	California
QCF29633|Jamestown_Canyon_virus	QCF29633	Jamestown Canyon virus	California
APA29007|Jerry_Slough_virus	APA29007	Jerry Slough virus	California
AIL54630|Jamestown_Canyon_virus	AIL54630	Jamestown Canyon virus	California
AAC54047|Jerry_Slough_virus	AAC54047	Jerry Slough virus	California
2107291E|Jerry_Slough_virus	2107291E	Jerry Slough virus	California
AIL54562|Jamestown_Canyon_virus	AIL54562	Jamestown Canyon virus	California
AIL54632|Jamestown_Canyon_virus	AIL54632	Jamestown Canyon virus	California
ADK36677|Jamestown_Canyon_virus	ADK36677	Jamestown Canyon virus	California
ABS29194|Jamestown_Canyon_virus	ABS29194	Jamestown Canyon virus	California
ABS29162|Jamestown_Canyon_virus	ABS29162	Jamestown Canyon virus	California
ABS29172|Jamestown_Canyon_virus	ABS29172	Jamestown Canyon virus	California
ABS29232|Jamestown_Canyon_virus	ABS29232	Jamestown Canyon virus	California
ABS29252|Jamestown_Canyon_virus	ABS29252	Jamestown Canyon virus	California
ABS29256|Jamestown_Canyon_virus	ABS29256	Jamestown Canyon virus	California
ABS29196|Jamestown_Canyon_virus	ABS29196	Jamestown Canyon virus	California
ABS29170|Jamestown_Canyon_virus	ABS29170	Jamestown Canyon virus	California
ABS29174|Jamestown_Canyon_virus	ABS29174	Jamestown Canyon virus	California
ABS29250|Jamestown_Canyon_virus	ABS29250	Jamestown Canyon virus	California
ABS29168|Jamestown_Canyon_virus	ABS29168	Jamestown Canyon virus	California
ABS29158|Jamestown_Canyon_virus	ABS29158	Jamestown Canyon virus	California
ABS29238|Jamestown_Canyon_virus	ABS29238	Jamestown Canyon virus	California
ABS29216|Jamestown_Canyon_virus	ABS29216	Jamestown Canyon virus	California
ABS29208|Jamestown_Canyon_virus	ABS29208	Jamestown Canyon virus	California
ABS29164|Jamestown_Canyon_virus	ABS29164	Jamestown Canyon virus	California
ABS29190|Jamestown_Canyon_virus	ABS29190	Jamestown Canyon virus	California
ABS29186|Jamestown_Canyon_virus	ABS29186	Jamestown Canyon virus	California
ABS29260|Jamestown_Canyon_virus	ABS29260	Jamestown Canyon virus	California
AXZ96240|Jamestown_Canyon_virus	AXZ96240	Jamestown Canyon virus	California
QEI47188|Jamestown_Canyon_virus	QEI47188	Jamestown Canyon virus	California
ABS29176|Jamestown_Canyon_virus	ABS29176	Jamestown Canyon virus	California
ABS29198|Jamestown_Canyon_virus	ABS29198	Jamestown Canyon virus	California
ABS29200|Jamestown_Canyon_virus	ABS29200	Jamestown Canyon virus	California
AMB26904|Inkoo_virus	AMB26904	Inkoo virus	California
ANW09500|Inkoo_virus	ANW09500	Inkoo virus	California
ANW09491|Inkoo_virus	ANW09491	Inkoo virus	California
ANW09494|Inkoo_virus	ANW09494	Inkoo virus	California
ANW09497|Inkoo_virus	ANW09497	Inkoo virus	California
CAA92803|Inkoo_virus	CAA92803	Inkoo virus	California
ANW09492|Inkoo_virus	ANW09492	Inkoo virus	California
ANW09503|Inkoo_virus	ANW09503	Inkoo virus	California
AOS59865|Inkoo_virus	AOS59865	Inkoo virus	California
ANW09488|Inkoo_virus	ANW09488	Inkoo virus	California
AAC55330|Inkoo_virus	AAC55330	Inkoo virus	California
AAC55332|Inkoo_virus	AAC55332	Inkoo virus	California
ADG62309|South_River_virus	ADG62309	South River virus	California
APA28983|South_River_virus	APA28983	South River virus	California
AAC55338|South_River_virus	AAC55338	South River virus	California
APA28987|Serra_do_Navio_virus	APA28987	Serra do Navio virus	California
AAC55336|Serra_do_Navio_virus	AAC55336	Serra do Navio virus	California
APA34121|Trivittatus_virus	APA34121	Trivittatus virus	California
AAB60561|Trivittatus_virus	AAB60561	Trivittatus virus	California
AIL54642|Trivittatus_virus	AIL54642	Trivittatus virus	California
2107291Q|Trivittatus_virus	2107291Q	Trivittatus virus	California
ALI93832|Trivittatus_virus	ALI93832	Trivittatus virus	California
AIL54640|Trivittatus_virus	AIL54640	Trivittatus virus	California
ATI21266|Achiote_virus	ATI21266	Achiote virus	California
ATI21272|Infirmatus_virus	ATI21272	Infirmatus virus	California
AIN37038|Pongola_virus_-_SAAr1	AIN37038	Pongola virus - SAAr1	Bwamba
UZT55192|Pongola_virus	UZT55192	Pongola virus	Bwamba
ACE07178|Pongola_virus_-_SAAr1	ACE07178	Pongola virus - SAAr1	Bwamba
UZT55188|Pongola_virus	UZT55188	Pongola virus	Bwamba
UZT55185|Pongola_virus	UZT55185	Pongola virus	Bwamba
AIN37036|Pongola_virus_-_SAAr1	AIN37036	Pongola virus - SAAr1	Bwamba
AIN37040|Bwamba_orthobunyavirus	AIN37040	Bwamba orthobunyavirus	Bwamba
ACE07176|Bwamba_orthobunyavirus	ACE07176	Bwamba orthobunyavirus	Bwamba
AIN37042|Bwamba_orthobunyavirus	AIN37042	Bwamba orthobunyavirus	Bwamba
AQM74171|Wolkberg_virus	AQM74171	Wolkberg virus	Nyando
AQM74141|Wolkberg_virus	AQM74141	Wolkberg virus	Nyando
AQM74153|Wolkberg_virus	AQM74153	Wolkberg virus	Nyando
AQM74156|Wolkberg_virus	AQM74156	Wolkberg virus	Nyando
AQM74150|Wolkberg_virus	AQM74150	Wolkberg virus	Nyando
AQM74159|Wolkberg_virus	AQM74159	Wolkberg virus	Nyando
AQM74168|Wolkberg_virus	AQM74168	Wolkberg virus	Nyando
AQM74144|Wolkberg_virus	AQM74144	Wolkberg virus	Nyando
AQM74162|Wolkberg_virus	AQM74162	Wolkberg virus	Nyando
AYF57694|Kaeng_Khoi_virus	AYF57694	Kaeng Khoi virus	Nyando
WAU48781|Kaeng_Khoi_virus	WAU48781	Kaeng Khoi virus	Nyando
WAU48785|Kaeng_Khoi_virus	WAU48785	Kaeng Khoi virus	Nyando
ASG81434|Kaeng_Khoi_virus	ASG81434	Kaeng Khoi virus	Nyando
AIN37054|Kaeng_Khoi_virus	AIN37054	Kaeng Khoi virus	Nyando
WAU48783|Kaeng_Khoi_virus	WAU48783	Kaeng Khoi virus	Nyando
AJG39326|Wuhan_Louse_Fly_Virus_1	AJG39326	Wuhan Louse Fly Virus 1	Nyando
AIN37050|Nyando_virus	AIN37050	Nyando virus	Nyando
QSV52393|Nyando_virus	QSV52393	Nyando virus	Nyando
AIN37048|Nyando_virus	AIN37048	Nyando virus	Nyando
AIN37046|Nyando_virus	AIN37046	Nyando virus	Nyando
AIN37044|Nyando_virus	AIN37044	Nyando virus	Nyando
AIN37052|Mojui_dos_Campos_virus	AIN37052	Mojui dos Campos virus	Nyando
ACR82217|Batai_virus	ACR82217	Batai virus	Bunyamwera
BAE97683|Batai_virus	BAE97683	Batai virus	Bunyamwera
APU88427|Batai_virus	APU88427	Batai virus	Bunyamwera
ACR82213|Batai_virus	ACR82213	Batai virus	Bunyamwera
AFY52611|Batai_virus	AFY52611	Batai virus	Bunyamwera
AID57441|Batai_virus	AID57441	Batai virus	Bunyamwera
AHW40491|Batai_virus	AHW40491	Batai virus	Bunyamwera
ACR82215|Batai_virus	ACR82215	Batai virus	Bunyamwera
AFY52609|Batai_virus	AFY52609	Batai virus	Bunyamwera
CAA51843|Batai_virus	CAA51843	Batai virus	Bunyamwera
ACR82219|Batai_virus	ACR82219	Batai virus	Bunyamwera
ACR82211|Batai_virus	ACR82211	Batai virus	Bunyamwera
BAE97681|Batai_virus	BAE97681	Batai virus	Bunyamwera
AFY52613|Batai_virus	AFY52613	Batai virus	Bunyamwera
UZT55199|Batai_virus	UZT55199	Batai virus	Bunyamwera
AKM28563|Batai_virus	AKM28563	Batai virus	Bunyamwera
UEP19792|Batai_virus	UEP19792	Batai virus	Bunyamwera
AHZ64961|Calovo_virus	AHZ64961	Calovo virus	Bunyamwera
AHZ64959|Calovo_virus	AHZ64959	Calovo virus	Bunyamwera
AGM39997|Batai_virus	AGM39997	Batai virus	Bunyamwera
AGM40001|Batai_virus	AGM40001	Batai virus	Bunyamwera
AGM34035|Calovo_virus	AGM34035	Calovo virus	Bunyamwera
AHZ64963|Calovo_virus	AHZ64963	Calovo virus	Bunyamwera
AHZ64965|Calovo_virus	AHZ64965	Calovo virus	Bunyamwera
AXR75705|Batai_virus	AXR75705	Batai virus	Bunyamwera
ALN13321|Anadyr_virus	ALN13321	Anadyr virus	Bunyamwera
ALN13301|Anadyr_virus	ALN13301	Anadyr virus	Bunyamwera
ALN13297|Anadyr_virus	ALN13297	Anadyr virus	Bunyamwera
ALN13293|Anadyr_virus	ALN13293	Anadyr virus	Bunyamwera
ALN13305|Anadyr_virus	ALN13305	Anadyr virus	Bunyamwera
ALN13265|Anadyr_virus	ALN13265	Anadyr virus	Bunyamwera
ALN13273|Anadyr_virus	ALN13273	Anadyr virus	Bunyamwera
ALN13313|Anadyr_virus	ALN13313	Anadyr virus	Bunyamwera
AXP31996|Anadyr_virus	AXP31996	Anadyr virus	Bunyamwera
ALN13281|Anadyr_virus	ALN13281	Anadyr virus	Bunyamwera
ALN13269|Anadyr_virus	ALN13269	Anadyr virus	Bunyamwera
ALN13309|Anadyr_virus	ALN13309	Anadyr virus	Bunyamwera
ANB45707|Anadyr_virus	ANB45707	Anadyr virus	Bunyamwera
ALN13285|Anadyr_virus	ALN13285	Anadyr virus	Bunyamwera
ALN13289|Anadyr_virus	ALN13289	Anadyr virus	Bunyamwera
ALN13277|Anadyr_virus	ALN13277	Anadyr virus	Bunyamwera
ALN13317|Anadyr_virus	ALN13317	Anadyr virus	Bunyamwera
ALN13325|Anadyr_virus	ALN13325	Anadyr virus	Bunyamwera
AAL37356|Bunyamwera_virus	AAL37356	Bunyamwera virus	Bunyamwera
APF29566|Batai_virus	APF29566	Batai virus	Bunyamwera
ARI46627|Laguna_Larga_virus	ARI46627	Laguna Larga virus	Bunyamwera
AXP32016|Fort_Sherman_virus	AXP32016	Fort Sherman virus	Bunyamwera
AKX73311|Bunyamwera_virus	AKX73311	Bunyamwera virus	Bunyamwera
AKX73303|Bunyamwera_virus	AKX73303	Bunyamwera virus	Bunyamwera
QJQ29395|Fort_Sherman_orthobunyavirus	QJQ29395	Fort Sherman orthobunyavirus	Bunyamwera
ACE07180|Fort_Sherman_virus	ACE07180	Fort Sherman virus	Bunyamwera
ARI46631|Maguari_virus	ARI46631	Maguari virus	Bunyamwera
AKX73307|Bunyamwera_virus	AKX73307	Bunyamwera virus	Bunyamwera
ARI46655|Fort_Sherman_virus	ARI46655	Fort Sherman virus	Bunyamwera
AXP32040|Northway_virus	AXP32040	Northway virus	Bunyamwera
CAA51855|Northway_virus	CAA51855	Northway virus	Bunyamwera
AXM42966|Northway_virus	AXM42966	Northway virus	Bunyamwera
AXU40904|Cache_Valley_virus	AXU40904	Cache Valley virus	Bunyamwera
ARI46647|Playas_virus	ARI46647	Playas virus	Bunyamwera
AKH40538|Cache_Valley_virus	AKH40538	Cache Valley virus	Bunyamwera
ARI46659|Cache_Valley_virus	ARI46659	Cache Valley virus	Bunyamwera
ARI46663|Cache_Valley_virus	ARI46663	Cache Valley virus	Bunyamwera
AKH40546|Cache_Valley_virus	AKH40546	Cache Valley virus	Bunyamwera
AKH40536|Cache_Valley_virus	AKH40536	Cache Valley virus	Bunyamwera
AKH40572|Playas_virus	AKH40572	Playas virus	Bunyamwera
ARI46671|Cache_Valley_virus	ARI46671	Cache Valley virus	Bunyamwera
ARI46643|Playas_virus	ARI46643	Playas virus	Bunyamwera
AKH40544|Cache_Valley_virus	AKH40544	Cache Valley virus	Bunyamwera
AKH40540|Cache_Valley_virus	AKH40540	Cache Valley virus	Bunyamwera
AKH40534|Cache_Valley_virus	AKH40534	Cache Valley virus	Bunyamwera
ARI46667|Cache_Valley_virus	ARI46667	Cache Valley virus	Bunyamwera
ARI46679|Cache_Valley_virus	ARI46679	Cache Valley virus	Bunyamwera
CAA51845|Cache_Valley_virus	CAA51845	Cache Valley virus	Bunyamwera
ARI46683|Cache_Valley_virus	ARI46683	Cache Valley virus	Bunyamwera
AKH40562|Cache_Valley_virus	AKH40562	Cache Valley virus	Bunyamwera
AKH40548|Cache_Valley_virus	AKH40548	Cache Valley virus	Bunyamwera
AKH40570|Cache_Valley_virus	AKH40570	Cache Valley virus	Bunyamwera
AKH40566|Cache_Valley_virus	AKH40566	Cache Valley virus	Bunyamwera
AKH40564|Cache_Valley_virus	AKH40564	Cache Valley virus	Bunyamwera
AKH40550|Cache_Valley_virus	AKH40550	Cache Valley virus	Bunyamwera
ARI46675|Cache_Valley_virus	ARI46675	Cache Valley virus	Bunyamwera
AKH40558|Cache_Valley_virus	AKH40558	Cache Valley virus	Bunyamwera
QYS16041|Cache_Valley_virus	QYS16041	Cache Valley virus	Bunyamwera
QHN12708|Cache_Valley_virus	QHN12708	Cache Valley virus	Bunyamwera
AKH40556|Cache_Valley_virus	AKH40556	Cache Valley virus	Bunyamwera
AKH40542|Cache_Valley_virus	AKH40542	Cache Valley virus	Bunyamwera
ADG62277|Cache_Valley_virus	ADG62277	Cache Valley virus	Bunyamwera
AHE74137|Cache_Valley_virus	AHE74137	Cache Valley virus	Bunyamwera
ADG62275|Cache_Valley_virus	ADG62275	Cache Valley virus	Bunyamwera
AKH40554|Cache_Valley_virus	AKH40554	Cache Valley virus	Bunyamwera
ADG62281|Cache_Valley_virus	ADG62281	Cache Valley virus	Bunyamwera
AKH40560|Cache_Valley_virus	AKH40560	Cache Valley virus	Bunyamwera
UUJ37933|Cache_Valley_virus	UUJ37933	Cache Valley virus	Bunyamwera
AKH40552|Cache_Valley_virus	AKH40552	Cache Valley virus	Bunyamwera
AKH40568|Cache_Valley_virus	AKH40568	Cache Valley virus	Bunyamwera
ADG62279|Cache_Valley_virus	ADG62279	Cache Valley virus	Bunyamwera
ADG62283|Cache_Valley_virus	ADG62283	Cache Valley virus	Bunyamwera
AHE74133|Cache_Valley_virus	AHE74133	Cache Valley virus	Bunyamwera
UYS78534|Cache_Valley_virus	UYS78534	Cache Valley virus	Bunyamwera
AHE74135|Cache_Valley_virus	AHE74135	Cache Valley virus	Bunyamwera
AGI03948|Cache_Valley_virus	AGI03948	Cache Valley virus	Bunyamwera
ARI46639|Tlacotalpan_virus	ARI46639	Tlacotalpan virus	Bunyamwera
ACJ64916|Cholul_virus	ACJ64916	Cholul virus	Bunyamwera
AXP32080|Tlacotalpan_virus	AXP32080	Tlacotalpan virus	Bunyamwera
ARI46623|Maguari_virus	ARI46623	Maguari virus	Bunyamwera
QYS16042|Cache_Valley_virus	QYS16042	Cache Valley virus	Bunyamwera
AAW62369|Potosi_virus	AAW62369	Potosi virus	Bunyamwera
AXP32052|Potosi_virus	AXP32052	Potosi virus	Bunyamwera
ATJ04184|Potosi_virus	ATJ04184	Potosi virus	Bunyamwera
ACV95624|Tensaw_virus	ACV95624	Tensaw virus	Bunyamwera
AXP32068|Tensaw_virus	AXP32068	Tensaw virus	Bunyamwera
ACV95620|Tensaw_virus	ACV95620	Tensaw virus	Bunyamwera
ATJ04179|Maguari_virus	ATJ04179	Maguari virus	Bunyamwera
ARI46635|Maguari_virus	ARI46635	Maguari virus	Bunyamwera
ARI46619|Maguari_virus	ARI46619	Maguari virus	Bunyamwera
ARI46651|Playas_virus	ARI46651	Playas virus	Bunyamwera
AAA57147|Maguari_virus	AAA57147	Maguari virus	Bunyamwera
AXP32032|Main_Drain_virus	AXP32032	Main Drain virus	Bunyamwera
CAA51853|Main_Drain_virus	CAA51853	Main Drain virus	Bunyamwera
AXN72389|Lokern_virus	AXN72389	Lokern virus	Bunyamwera
AXP32056|Santa_Rosa_virus	AXP32056	Santa Rosa virus	Bunyamwera
AXP32028|Lokern_virus	AXP32028	Lokern virus	Bunyamwera
AXP32036|Main_Drain_virus	AXP32036	Main Drain virus	Bunyamwera
AFY52615|Batai_virus	AFY52615	Batai virus	Bunyamwera
AXP32004|Bozo_virus	AXP32004	Bozo virus	Bunyamwera
CAM97975|Bunyamwera_virus	CAM97975	Bunyamwera virus	Bunyamwera
AXZ96252|Bozo_virus	AXZ96252	Bozo virus	Bunyamwera
AGU99594|Ilesha_virus	AGU99594	Ilesha virus	Bunyamwera
AGM34027|Ilesha_virus	AGM34027	Ilesha virus	Bunyamwera
AAW62367|Ilesha_virus	AAW62367	Ilesha virus	Bunyamwera
AAT01933|Mboke_virus	AAT01933	Mboke virus	Bunyamwera
QNS29910|Ilesha_virus	QNS29910	Ilesha virus	Bunyamwera
CAM98680|Ilesha_virus	CAM98680	Ilesha virus	Bunyamwera
CAM98681|Ilesha_virus	CAM98681	Ilesha virus	Bunyamwera
CAM98682|Nyando_virus	CAM98682	Nyando virus	Nyando
AGM34031|Ngari_virus	AGM34031	Ngari virus	Bunyamwera
UAM96498|Ngari_virus	UAM96498	Ngari virus	Bunyamwera
UZN01458|Ngari_virus	UZN01458	Ngari virus	Bunyamwera
UZN01459|Ngari_virus	UZN01459	Ngari virus	Bunyamwera
UFE16445|Ngari_virus	UFE16445	Ngari virus	Bunyamwera
UZN01460|Ngari_virus	UZN01460	Ngari virus	Bunyamwera
UFE16448|Ngari_virus	UFE16448	Ngari virus	Bunyamwera
UZN01461|Ngari_virus	UZN01461	Ngari virus	Bunyamwera
UAM96501|Ngari_virus	UAM96501	Ngari virus	Bunyamwera
AFY23381|Ngari_virus	AFY23381	Ngari virus	Bunyamwera
AAT01936|Ngari_virus	AAT01936	Ngari virus	Bunyamwera
AII99849|Ngari_virus	AII99849	Ngari virus	Bunyamwera
QSV52390|Bunyamwera_orthobunyavirus	QSV52390	Bunyamwera orthobunyavirus	Bunyamwera
QSV52387|Bunyamwera_orthobunyavirus	QSV52387	Bunyamwera orthobunyavirus	Bunyamwera
QSV52388|Bunyamwera_orthobunyavirus	QSV52388	Bunyamwera orthobunyavirus	Bunyamwera
QSV52389|Bunyamwera_orthobunyavirus	QSV52389	Bunyamwera orthobunyavirus	Bunyamwera
CAM97978|M_Poko_virus	CAM97978	M_Poko virus	Turlock
CAM98679|Bunyamwera_virus	CAM98679	Bunyamwera virus	Bunyamwera
AFY23389|Ngari_virus	AFY23389	Ngari virus	Bunyamwera
AXP32008|Bunyamwera_virus	AXP32008	Bunyamwera virus	Bunyamwera
BAA00261|Bunyamwera_virus	BAA00261	Bunyamwera virus	Bunyamwera
AIZ49770|Ngari_virus	AIZ49770	Ngari virus	Bunyamwera
AIZ49772|Bunyamwera_virus	AIZ49772	Bunyamwera virus	Bunyamwera
AIZ49774|Bunyamwera_virus	AIZ49774	Bunyamwera virus	Bunyamwera
AIZ49766|Ngari_virus	AIZ49766	Ngari virus	Bunyamwera
AIZ49768|Ngari_virus	AIZ49768	Ngari virus	Bunyamwera
UZT55179|Orthobunyavirus_sp.	UZT55179	Orthobunyavirus sp.	Group C
AFY23385|Ngari_virus	AFY23385	Ngari virus	Bunyamwera
AEQ54729|Bunyamwera_virus	AEQ54729	Bunyamwera virus	Bunyamwera
AFY23377|Ngari_virus	AFY23377	Ngari virus	Bunyamwera
AFY23373|Ngari_virus	AFY23373	Ngari virus	Bunyamwera
UEP19798|Bunyamwera_orthobunyavirus	UEP19798	Bunyamwera orthobunyavirus	Bunyamwera
UEP19795|Bunyamwera_orthobunyavirus	UEP19795	Bunyamwera orthobunyavirus	Bunyamwera
ACE07184|Shokwe_virus	ACE07184	Shokwe virus	Bunyamwera
AXP32064|Shokwe_virus	AXP32064	Shokwe virus	Bunyamwera
CAM97977|Bozo_virus	CAM97977	Bozo virus	Bunyamwera
AXZ96248|Birao_virus	AXZ96248	Birao virus	Bunyamwera
AXP32000|Birao_virus	AXP32000	Birao virus	Bunyamwera
CAM98683|Ingwavuma_virus	CAM98683	Ingwavuma virus	Simbu
CAM97976|Birao_virus	CAM97976	Birao virus	Bunyamwera
CAM97979|Nola_virus	CAM97979	Nola virus	Bakau
ACE07182|Xingu_virus	ACE07182	Xingu virus	Bunyamwera
AIA08882|Ebinur_lake_virus	AIA08882	Ebinur lake virus	Bunyamwera
WBY50516|Ebinur_lake_virus	WBY50516	Ebinur lake virus	Bunyamwera
AAA87603|Germiston_virus	AAA87603	Germiston virus	Bunyamwera
WAD86910|Ebinur_lake_virus	WAD86910	Ebinur lake virus	Bunyamwera
WAD86905|Ebinur_lake_virus	WAD86905	Ebinur lake virus	Bunyamwera
AQV08289|Tucunduba_virus	AQV08289	Tucunduba virus	Wyeomyia
AQV08283|Tucunduba_virus	AQV08283	Tucunduba virus	Wyeomyia
