taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AXP32062|Shokwe_virus	AXP32062	Shokwe virus	SAAr 4042	1962	Aedes cumminsii	"South Africa: Ndumu, Natal, Shokwe pan"	Africa	Bunyamwera
AXP32002|Bozo_virus	AXP32002	Bozo virus	DakArB 7343	1975	Aedes opok	Central African Republic	Africa	Bunyamwera
AXZ96250|Bozo_virus	AXZ96250	Bozo virus	DakArB 7343	1975	Aedes opok	Central African Republic: Bozo	Africa	Bunyamwera
AXP31998|Birao_virus	AXP31998	Birao virus	DakArB 2198	1969	Anopheles pharoensis	"Central African Republic: Birao Village, Bangui"	Africa	Bunyamwera
AXZ96246|Birao_virus	AXZ96246	Birao virus	DakArB 2198	1969	Anopheles pharoensis	Central African Republic: Banugui	Africa	Bunyamwera
WBY50514|Ebinur_lake_virus	WBY50514	Ebinur lake virus						Bunyamwera
WBY50500|Ebinur_lake_virus	WBY50500	Ebinur lake virus						Bunyamwera
WBY50502|Ebinur_lake_virus	WBY50502	Ebinur lake virus						Bunyamwera
WBY50505|Ebinur_lake_virus	WBY50505	Ebinur lake virus						Bunyamwera
WBY50501|Ebinur_lake_virus	WBY50501	Ebinur lake virus						Bunyamwera
AIA08883|Ebinur_lake_virus	AIA08883	Ebinur lake virus	Cu20-XJ	2013	NA	China	Asia	Bunyamwera
WBY50506|Ebinur_lake_virus	WBY50506	Ebinur lake virus						Bunyamwera
WBY50504|Ebinur_lake_virus	WBY50504	Ebinur lake virus						Bunyamwera
WBY50503|Ebinur_lake_virus	WBY50503	Ebinur lake virus						Bunyamwera
WAD86908|Ebinur_lake_virus	WAD86908	Ebinur lake virus						Bunyamwera
WAD86903|Ebinur_lake_virus	WAD86903	Ebinur lake virus						Bunyamwera
AFY52608|Batai_virus	AFY52608	Batai virus	MS50	1962	Aedes curtipes	Malaysia	Asia	Bunyamwera
AXP32022|Kairi_virus	AXP32022	Kairi virus	TRVL 8900	1955	Ochlerotatus scapularis	"Trinidad and Tobago: Melajo Forest, Northeast Trinidad"	South America	Bunyamwera
AXU40903|Kairi_virus	AXU40903	Kairi virus	TR8900	2018	NA	United Kingdom	Europe	Bunyamwera
ALC78364|Kairi_virus	ALC78364	Kairi virus	BeAr8226	1957	Ochlerotatus scapularis	Brazil	South America	Bunyamwera
AQV08287|Tucunduba_virus	AQV08287	Tucunduba virus	BeAR701402	2006	Psorophora ferox	Brazil	South America	Wyeomyia
AQV08284|Tucunduba_virus	AQV08284	Tucunduba virus	BeAR643361	2001	Limatus flavisetosus	Brazil	South America	Wyeomyia
AQV08281|Tucunduba_virus	AQV08281	Tucunduba virus	BeAR544767	1996	Wyeomyia sp.	Brazil	South America	Wyeomyia
AEZ35273|Wyeomyia_orthobunyavirus	AEZ35273	Wyeomyia orthobunyavirus	original	1940	Wyeomyia melanocephala	Colombia	South America	Wyeomyia
AEZ35267|Taiassui_virus	AEZ35267	Taiassui virus	BeAr671	1988	Sabethini spp.	Brazil	South America	Wyeomyia
AEZ35270|Tucunduba_virus	AEZ35270	Tucunduba virus	BeAr278	1955	Wyeomyia spp.	Brazil	South America	Wyeomyia
AXP32082|Wyeomyia_orthobunyavirus	AXP32082	Wyeomyia orthobunyavirus	Original	1940	Wyeomyia melanocephala	Colombia: El Horizonte	South America	Wyeomyia
AGA54138|Wyeomyia_orthobunyavirus	AGA54138	Wyeomyia orthobunyavirus	original-2	1940	Wyeomyia melanocephala	Colombia	South America	Wyeomyia
AEZ35281|Wyeomyia_virus_strain_Darien	AEZ35281	Wyeomyia virus strain Darien						Wyeomyia
AEZ35278|Wyeomyia_virus_strain_TRVL8349	AEZ35278	Wyeomyia virus strain TRVL8349						Wyeomyia
AEZ35261|Macaua_virus	AEZ35261	Macaua virus	BeAr306329	1976	Sabethes soperi	Brazil	South America	Wyeomyia
AEZ35283|Cachoeira_Porteira_virus	AEZ35283	Cachoeira Porteira virus	BeAr328208	1977	Sabethes glaucadaemon	Brazil	South America	Wyeomyia
AEZ35264|Sororoca_virus	AEZ35264	Sororoca virus	BeAr32149	1961	Sabethini spp.	Brazil	South America	Wyeomyia
AEZ35258|Iaco_virus	AEZ35258	Iaco virus	BeAn314206	1976	Wyeomyia spp.	Brazil	South America	Wyeomyia
AEZ35255|Anhembi_virus	AEZ35255	Anhembi virus	SPAr2984	1965	Phoniomyia pilicauda	Brazil	South America	Wyeomyia
AKC42510|Guaroa_virus	AKC42510	Guaroa virus	FVB0546	2007	Homo sapiens	Bolivia	South America	California
AKC42498|Guaroa_virus	AKC42498	Guaroa virus	FVB0840	2009	Homo sapiens	Bolivia	South America	California
AKC42494|Guaroa_virus	AKC42494	Guaroa virus	FVB0849	2009	Homo sapiens	Bolivia	South America	California
AKC42490|Guaroa_virus	AKC42490	Guaroa virus	FVB2032	2009	Homo sapiens	Bolivia	South America	California
AKC42506|Guaroa_virus	AKC42506	Guaroa virus	OBT5637	2007	Homo sapiens	Peru	South America	California
AKC42486|Guaroa_virus	AKC42486	Guaroa virus	FPI01900	2011	Homo sapiens	Peru	South America	California
AKC42478|Guaroa_virus	AKC42478	Guaroa virus	ASA1165	2011	Homo sapiens	Peru	South America	California
AKC42502|Guaroa_virus	AKC42502	Guaroa virus	MIS0239	2008	Homo sapiens	Peru	South America	California
AKC42514|Guaroa_virus	AKC42514	Guaroa virus	IQD8537	2004	Homo sapiens	Peru	South America	California
AKC42523|Guaroa_virus	AKC42523	Guaroa virus	CoH352111	1956	Homo sapiens (asymptomatic)	Colombia	South America	California
AKC42482|Guaroa_virus	AKC42482	Guaroa virus	FSJ2035	2011	Homo sapiens	Peru	South America	California
AKC42519|Guaroa_virus	AKC42519	Guaroa virus	BeH22063	1960	Homo sapiens	Brazil	South America	California
AEZ35282|Guaroa_virus	AEZ35282	Guaroa virus	BeH22063	1960	Homo sapiens	Brazil	South America	California
QCT81346|Akabane_virus	QCT81346	Akabane virus	CS1796	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81327|Akabane_virus	QCT81327	Akabane virus	CS1777	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81328|Akabane_virus	QCT81328	Akabane virus	CS1778	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81326|Akabane_virus	QCT81326	Akabane virus	CS1776	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81314|Akabane_virus	QCT81314	Akabane virus	CS0221	1976	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81345|Akabane_virus	QCT81345	Akabane virus	CS1586	1983	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81342|Akabane_virus	QCT81342	Akabane virus	CS979	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81321|Akabane_virus	QCT81321	Akabane virus	CS749	1981	Bos taurus	Australia	Oceania	Simbu
QCT81353|Aino_virus	QCT81353	Aino virus	cs296	1979	bovine	Australia	Oceania	Simbu
QCT81317|Akabane_virus	QCT81317	Akabane virus	CS505	1979	Bos taurus	Australia	Oceania	Simbu
QCT81340|Akabane_virus	QCT81340	Akabane virus	CS506	1979	Bos taurus	Australia	Oceania	Simbu
QCT81341|Akabane_virus	QCT81341	Akabane virus	CS661	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81316|Akabane_virus	QCT81316	Akabane virus	CS396	1979	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81338|Akabane_virus	QCT81338	Akabane virus	CS241	1978	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81313|Akabane_virus	QCT81313	Akabane virus	CS0016	1975	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81339|Akabane_virus	QCT81339	Akabane virus	CS502	1976	Ovis aries	Australia	Oceania	Simbu
QCT81334|Akabane_virus	QCT81334	Akabane virus	CS231	1982	Bos taurus	Australia	Oceania	Simbu
QCT81335|Akabane_virus	QCT81335	Akabane virus	CS233	1979	Bos taurus	Australia	Oceania	Simbu
QCT81323|Akabane_virus	QCT81323	Akabane virus						Simbu
QCT81322|Akabane_virus	QCT81322	Akabane virus	CS951	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81330|Akabane_virus	QCT81330	Akabane virus	DPP231	1977	Bos taurus	Australia	Oceania	Simbu
QCT81343|Akabane_virus	QCT81343	Akabane virus	C1316	1980	Bos taurus	Australia	Oceania	Simbu
QCT81325|Akabane_virus	QCT81325	Akabane virus	CS1711	1984	Bos taurus	Australia	Oceania	Simbu
QCT81320|Akabane_virus	QCT81320	Akabane virus	CS744	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81344|Akabane_virus	QCT81344	Akabane virus	CS1383	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81324|Akabane_virus	QCT81324	Akabane virus	CS1416	1981	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81315|Akabane_virus	QCT81315	Akabane virus	CS294	1979	Bos taurus	Australia	Oceania	Simbu
QCT81318|Akabane_virus	QCT81318	Akabane virus	CS700	1981	Bos taurus	Australia	Oceania	Simbu
QCT81332|Akabane_virus	QCT81332	Akabane virus	CS215	1976	Bos taurus	Australia	Oceania	Simbu
QCT81329|Akabane_virus	QCT81329	Akabane virus	CS1798	1984	Culicoides brevitarsis	Australia	Oceania	Simbu
AXP32074|Tinaroo_virus	AXP32074	Tinaroo virus	CSIRO 153	1978	Culicoides brevitarsis	"Australia: Kairi Station, Queensland"	Oceania	Simbu
QCT81368|Tinaroo_virus	QCT81368	Tinaroo virus	cs153	1978	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81333|Akabane_virus	QCT81333	Akabane virus	CS228	1976	Bos taurus	Australia	Oceania	Simbu
QCT81348|Akabane_virus	QCT81348	Akabane virus	DPP237	1983	Bos taurus	Australia	Oceania	Simbu
QCT81319|Akabane_virus	QCT81319	Akabane virus	CS710	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81350|Akabane_virus	QCT81350	Akabane virus	DPP261	1983	Bos taurus	Australia	Oceania	Simbu
QCT81349|Akabane_virus	QCT81349	Akabane virus	DPP240	1983	Bos taurus	Australia	Oceania	Simbu
QCT81347|Akabane_virus	QCT81347	Akabane virus	DPP232	1982	Bos taurus	Australia	Oceania	Simbu
QCT81337|Akabane_virus	QCT81337	Akabane virus	CS236	1979	Bos taurus	Australia	Oceania	Simbu
QCT81336|Akabane_virus	QCT81336	Akabane virus	CS235	1979	Bos taurus	Australia	Oceania	Simbu
QCT81331|Akabane_virus	QCT81331	Akabane virus	R7949	1968	Bos taurus	Australia	Oceania	Simbu
QCT81312|Akabane_virus	QCT81312	Akabane virus	B8935	1968	Bos taurus	Australia	Oceania	Simbu
AZW33610|Akabane_virus	AZW33610	Akabane virus	HN10174	2010	Culex quinquefasciatus	China	Asia	Simbu
AZQ20748|Akabane_virus	AZQ20748	Akabane virus	HN10169	2010	Anopheles sinensis	China	Asia	Simbu
ASM94315|Akabane_virus	ASM94315	Akabane virus	GXLCH04	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94312|Akabane_virus	ASM94312	Akabane virus	GXLCH02	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94321|Akabane_virus	ASM94321	Akabane virus	GXLCH70N	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94318|Akabane_virus	ASM94318	Akabane virus	GXLCH16-70	2016	Rhizomys pruinosus	China	Asia	Simbu
ASM94324|Akabane_virus	ASM94324	Akabane virus	GXLCH01	2016	Rhizomys pruinosus	China	Asia	Simbu
APU93383|Akabane_virus	APU93383	Akabane virus	DHL10M110	2010	Anopheles vagus	China: Yunnan Province	Asia	Simbu
AKP63313|Akabane_virus	AKP63313	Akabane virus	DHL10M110	2010	Anopheles vagus (mosquito)	China	Asia	Simbu
QQL13652|Akabane_virus	QQL13652	Akabane virus	CX-01	2019	goat	China	Asia	Simbu
AFH96035|Akabane_virus	AFH96035	Akabane virus	AKVS-7/SKR/2010	2010	cattle	South Korea	Asia	Simbu
BCG45239|Akabane_virus	BCG45239	Akabane virus	KM-2/Br/06	2006	Bos taurus	Japan: Kumamoto	Asia	Simbu
BAR94029|Akabane_virus	BAR94029	Akabane virus	TS-C2	1979	Bos taurus	Japan	Asia	Simbu
BAF57206|Akabane_virus	BAF57206	Akabane virus						Simbu
AYO61087|Akabane_virus	AYO61087	Akabane virus	GXDH01	2016	goat	China	Asia	Simbu
QQH14721|Akabane_virus	QQH14721	Akabane virus	TJ2016	NA	Bos taurus	China	Asia	Simbu
ALE15081|Akabane_virus	ALE15081	Akabane virus	JaLAB39	1959	Aedes vexans	Australia	Oceania	Simbu
UXG07018|Akabane_orthobunyavirus	UXG07018	Akabane orthobunyavirus						Simbu
BCG45243|Akabane_virus	BCG45243	Akabane virus	FI-1/Br/08	2008	Bos taurus	Japan: Fukui	Asia	Simbu
UGK54253|Akabane_orthobunyavirus	UGK54253	Akabane orthobunyavirus	ISR-170/18	2018	sheep	Israel	Asia	Simbu
AXP32085|Yaba-7_virus	AXP32085	Yaba-7 virus	Yaba 7	1963	Mansonia africana	Nigeria	Africa	Simbu
CCG93479|Sabo_virus	CCG93479	Sabo virus						Simbu
AWL83670|Shuni_orthobunyavirus	AWL83670	Shuni orthobunyavirus	ISR-2162/16	2016	cattle	Israel	Asia	Simbu
AWL83662|Shuni_orthobunyavirus	AWL83662	Shuni orthobunyavirus	ISR-242/16	2016	cattle	Israel	Asia	Simbu
AWL83666|Shuni_orthobunyavirus	AWL83666	Shuni orthobunyavirus	ISR-2067/16	2016	cattle	Israel	Asia	Simbu
AWL83658|Shuni_orthobunyavirus	AWL83658	Shuni orthobunyavirus	ISR-129/16	2016	sheep	Israel	Asia	Simbu
AQM56672|Shuni_orthobunyavirus	AQM56672	Shuni orthobunyavirus	220681	2014	sheep	Israel	Asia	Simbu
WBU01526|Shuni_orthobunyavirus	WBU01526	Shuni orthobunyavirus						Simbu
UXE46267|Shuni_orthobunyavirus	UXE46267	Shuni orthobunyavirus						Simbu
UTE10684|Shuni_orthobunyavirus	UTE10684	Shuni orthobunyavirus						Simbu
AHE76170|Shuni_orthobunyavirus	AHE76170	Shuni orthobunyavirus	SAE1809	2009	equine	South Africa	Africa	Simbu
CCH15003|Shuni_orthobunyavirus	CCH15003	Shuni orthobunyavirus						Simbu
AXP31990|Aino_virus	AXP31990	Aino virus	JaNAr 28	1964	Culex tritaeniorhynchus	"Japan: Ainotown, Nagasaki"	Asia	Simbu
CCG93467|Aino_virus	CCG93467	Aino virus	VRC 713423-2	1971	Culex tritaeniorhynchus	"India: Kaikalur, Andhra Prov."	Asia	Simbu
AXP32018|Kaikalur_virus	AXP32018	Kaikalur virus	cs655	1980	Culicoides brevitarsis	Australia	Oceania	Simbu
QCT81354|Aino_virus	QCT81354	Aino virus	CSIRO 110	1976	Culicoides brevitarsis	"Australia: Peachester, Queensland"	Oceania	Simbu
