taxon	accession	organism	serogroup
QLA46984|Boraceia_virus	QLA46984	Boraceia virus	Anopheles B
QLA46987|Boraceia_virus	QLA46987	Boraceia virus	Anopheles B
QLA47056|Las_Maloyas_virus	QLA47056	Las Maloyas virus	Anopheles A
AKO90177|Lukuni_virus	AKO90177	Lukuni virus	Anopheles A
ATJ04175|Anopheles_A_virus	ATJ04175	Anopheles A virus	Anopheles A
QLA46941|Lukuni_virus	QLA46941	Lukuni virus	Anopheles A
QLA47097|Bangui_virus	QLA47097	Bangui virus	Ungrouped
ABT-DRC594|Bangui_virus	ABT-DRC594	Bangui virus	Ungrouped
AYC76693|Nyangole_orthobunyavirus	AYC76693	Nyangole orthobunyavirus	Ungrouped
AWU66257|Orthobunyavirus_sp.	AWU66257	Orthobunyavirus sp.	Group C
AWU66251|Orthobunyavirus_sp.	AWU66251	Orthobunyavirus sp.	Group C
AGW82158|Caraparu_virus	AGW82158	Caraparu virus	Group C
AWU66235|Orthobunyavirus_sp.	AWU66235	Orthobunyavirus sp.	Group C
AGW82150|Caraparu_virus	AGW82150	Caraparu virus	Group C
AVX48951|Caraparu_virus	AVX48951	Caraparu virus	Group C
AGW82135|Caraparu_virus	AGW82135	Caraparu virus	Group C
QLA46974|Caraparu_virus	QLA46974	Caraparu virus	Group C
AGW82146|Caraparu_virus	AGW82146	Caraparu virus	Group C
AVX48947|Apeu_virus	AVX48947	Apeu virus	Group C
QLA46882|Vinces_virus	QLA46882	Vinces virus	Group C
QLA46981|Bruconha_virus	QLA46981	Bruconha virus	Group C
AKB96238|Bruconha_virus	AKB96238	Bruconha virus	Group C
AGW82154|Orthobunyavirus_FSL2923	AGW82154	Orthobunyavirus FSL2923	Group C
AJZ73168|Itaya_virus	AJZ73168	Itaya virus	Group C
AGW82139|Madrid_virus	AGW82139	Madrid virus	Group C
QLA46934|Madrid_virus	QLA46934	Madrid virus	Group C
QLA46956|Gumbo_Limbo_virus	QLA46956	Gumbo Limbo virus	Group C
UOW65756|Gumbo_Limbo_virus	UOW65756	Gumbo Limbo virus	Group C
UOW65757|Gumbo_Limbo_virus	UOW65757	Gumbo Limbo virus	Group C
QLA46916|Nepuyo_virus	QLA46916	Nepuyo virus	Group C
AVX48971|Nepuyo_virus	AVX48971	Nepuyo virus	Group C
QLA46930|Marituba_virus	QLA46930	Marituba virus	Group C
AGW82127|Marituba_virus	AGW82127	Marituba virus	Group C
AVX48963|Marituba_virus	AVX48963	Marituba virus	Group C
AVX48959|Madrid_virus	AVX48959	Madrid virus	Group C
AWU66253|Orthobunyavirus_sp.	AWU66253	Orthobunyavirus sp.	Group C
AGW82142|Marituba_virus	AGW82142	Marituba virus	Group C
QLA46920|Murutucu_virus	QLA46920	Murutucu virus	Group C
AVX48967|Murutucu_virus	AVX48967	Murutucu virus	Group C
QLA46892|Restan_virus	QLA46892	Restan virus	Group C
QLA46908|Oriboca_virus	QLA46908	Oriboca virus	Group C
AVX48975|Oriboca_virus	AVX48975	Oriboca virus	Group C
AGW82131|Oriboca_virus	AGW82131	Oriboca virus	Group C
QLA46906|Oriboca_virus	QLA46906	Oriboca virus	Group C
QLA46949|Itaqui_virus	QLA46949	Itaqui virus	Group C
AVX48955|Itaqui_virus	AVX48955	Itaqui virus	Group C
QLA46871|Zegla_virus	QLA46871	Zegla virus	Patois
AXP33568|Zegla_virus	AXP33568	Zegla virus	Patois
UWX37292|Patois_orthobunyavirus	UWX37292	Patois orthobunyavirus	Patois
QLA47043|Pahayokee_virus	QLA47043	Pahayokee virus	Patois
UOW65760|Pahayokee_virus	UOW65760	Pahayokee virus	Patois
AXP33567|Shark_River_virus	AXP33567	Shark River virus	Patois
UOW65762|Shark_River_virus	UOW65762	Shark River virus	Patois
UOW65761|Shark_River_virus	UOW65761	Shark River virus	Patois
QLA46900|Patois_virus	QLA46900	Patois virus	Patois
AXP33566|Patois_virus	AXP33566	Patois virus	Patois
QLA47004|Abras_virus	QLA47004	Abras virus	Patois
AXP33564|Abras_virus	AXP33564	Abras virus	Patois
AXP31987|Babahoya_virus	AXP31987	Babahoya virus	Patois
AXP33565|Babahoya_virus	AXP33565	Babahoya virus	Patois
ANI69985|Bellavista_virus	ANI69985	Bellavista virus	Guama
QLA46923|Mirim_virus	QLA46923	Mirim virus	Guama
APM83099|Mirim_virus	APM83099	Mirim virus	Guama
QLA47100|Mirim-like_virus	QLA47100	Mirim-like virus	Guama
QLA47074|Cananeia_virus	QLA47074	Cananeia virus	Guama
QLA47066|Itimirim_virus	QLA47066	Itimirim virus	Guama
QLA47069|Guaratuba_virus	QLA47069	Guaratuba virus	Guama
QLA47086|Benevides_virus	QLA47086	Benevides virus	Capim
QLA47063|Juan_Diaz_virus	QLA47063	Juan Diaz virus	Capim
QLA46959|Guajara_orthobunyavirus	QLA46959	Guajara orthobunyavirus	Capim
AKO90174|Guajara_orthobunyavirus	AKO90174	Guajara orthobunyavirus	Capim
QLA47083|Benfica_virus	QLA47083	Benfica virus	Capim
QLA47077|Bushbush_virus	QLA47077	Bushbush virus	Capim
QLA47107|Acara_virus	QLA47107	Acara virus	Capim
QLA47053|Moriche_virus	QLA47053	Moriche virus	Capim
ALP92389|Capim_virus	ALP92389	Capim virus	Capim
AMR98957|Capim_virus	AMR98957	Capim virus	Capim
QLA47000|Ananindeua_virus	QLA47000	Ananindeua virus	Guama
APM83096|Ananindeua_virus	APM83096	Ananindeua virus	Guama
AXY55023|Ananindeua_virus	AXY55023	Ananindeua virus	Guama
AKO90175|Guama_virus	AKO90175	Guama virus	Guama
ALP92134|Mahogany_hammock_virus	ALP92134	Mahogany hammock virus	Guama
UOW65759|Mahogany_hammock_virus	UOW65759	Mahogany hammock virus	Guama
UOW65758|Mahogany_hammock_virus	UOW65758	Mahogany hammock virus	Guama
AKO90178|Moju_virus	AKO90178	Moju virus	Guama
QLA47013|Timboteua_virus	QLA47013	Timboteua virus	Guama
AKO90173|Catu_virus	AKO90173	Catu virus	Guama
AKO90172|Bimiti_virus	AKO90172	Bimiti virus	Guama
QLA47080|Bertioga_virus	QLA47080	Bertioga virus	Guama
QLA46926|Minatitlan_virus	QLA46926	Minatitlan virus	Minatitlan
QLA46970|Enseada_virus	QLA46970	Enseada virus	Ungrouped
AMR98953|Enseada_virus	AMR98953	Enseada virus	Ungrouped
AGS94385|Brazoran_virus	AGS94385	Brazoran virus	Ungrouped
QLA46990|Batama_virus	QLA46990	Batama virus	Tete
AED98379|I612045_virus	AED98379	I612045 virus	Tete
AJT55736|Tete_orthobunyavirus	AJT55736	Tete orthobunyavirus	Tete
AKO90184|Matruh_virus	AKO90184	Matruh virus	Tete
AKO90171|Bahig_virus	AKO90171	Bahig virus	Tete
QLA46878|Weldona_virus	QLA46878	Weldona virus	Tete
AEE01390|Oyo_virus	AEE01390	Oyo virus	Ungrouped
QBH98893|Ness_Ziona_virus	QBH98893	Ness Ziona virus	Ungrouped
AHL27170|Khurdun_virus	AHL27170	Khurdun virus	NA
