taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
ALB07201|Oropouche_virus	228	ALB07201	Oropouche virus	TVP-19258/IQT-4083	1997	Homo sapiens	Peru	South America	Simbu
ALB07202|Oropouche_virus	229	ALB07202	Oropouche virus	TVP-19259/IQT-7085	1998	Homo sapiens	Peru	South America	Simbu
ALB07203|Oropouche_virus	230	ALB07203	Oropouche virus	TVP-19260/MD-203	1994	Homo sapiens	Peru	South America	Simbu
ALB07204|Oropouche_virus	231	ALB07204	Oropouche virus	TVP-19262/OBS-9478	2000	Homo sapiens	Peru	South America	Simbu
ALB07205|Oropouche_virus	232	ALB07205	Oropouche virus	TVP-19264/PAN-481126	1999	Homo sapiens	Panama	North America	Simbu
ASZ70170|Oropouche_virus	347	ASZ70170	Oropouche virus	NA	1961	NA	NA	South America	Simbu
ATJ00128|Oropouche_virus	361	ATJ00128	Oropouche virus	OROV/EC/Esmeraldas/087/2016	2016	Homo sapiens	Ecuador	South America	Simbu
AWU66909|Oropouche_virus	388	AWU66909	Oropouche virus	BeH 543100	1996	Homo sapiens	Brazil	South America	Simbu
AWU66913|Oropouche_virus	389	AWU66913	Oropouche virus	BeH 389865	1980	Homo sapiens	Brazil	South America	Simbu
AWU66917|Oropouche_virus	390	AWU66917	Oropouche virus	BeH 390242	1980	Homo sapiens	Brazil	South America	Simbu
AWU66921|Oropouche_virus	391	AWU66921	Oropouche virus	BeH 472433	1988	Homo sapiens	Brazil	South America	Simbu
AWU66925|Oropouche_virus	392	AWU66925	Oropouche virus	BeH 472435	1988	Homo sapiens	Brazil	South America	Simbu
AWU66929|Oropouche_virus	393	AWU66929	Oropouche virus	BeH 421086	1993	Homo sapiens	Brazil	South America	Simbu
AWU66933|Oropouche_virus	394	AWU66933	Oropouche virus	BeAn 626990	2000	Callithrix sp.	Brazil	South America	Simbu
AWU66937|Oropouche_virus	395	AWU66937	Oropouche virus	BeAr 19886	1960	Ochlerotatus serratus	Brazil	South America	Simbu
