taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AGZ03709|Tahyna_virus	113	AGZ03709	Tahyna virus	4020	1966	Aedes vexans	Czechoslovakia	Europe	California
AGZ03710|Tahyna_virus	114	AGZ03710	Tahyna virus	4034	1966	Aedes vexans	Czechoslovakia	Europe	California
AGZ03711|Tahyna_virus	115	AGZ03711	Tahyna virus	4057	1966	Aedes vexans	Czechoslovakia	Europe	California
YP_010085094|Tahyna_virus	703	YP_010085094	Tahyna virus	XJ0625	2006	Culex sp. (mosquito)	China	Asia	California
AEZ35267|Taiassui_virus	60	AEZ35267	Taiassui virus	BeAr671	1988	Sabethini spp.	Brazil	South America	Wyeomyia
QLA47025|Tanga_virus	593	QLA47025	Tanga virus	MP 1329	1962	Anopheles funestus	Tanzania	Africa	Tanga
AKO90164|Tataguine_virus	212	AKO90164	Tataguine virus	H9963	1971	NA	Nigeria	Africa	Tanga
ATI21259|Tataguine_virus	356	ATI21259	Tataguine virus	IBH10362	1966	Homo sapiens	Nigeria	Africa	Tanga
AXS76878|Tataguine_virus	450	AXS76878	Tataguine virus	HB72P583	1972	Homo sapiens	Central African Republic: Batangafo region	Africa	Tanga
QLA46886|Tataguine_virus	559	QLA46886	Tataguine virus	79V1463	1979	Anopheles sp.	Gambia	Africa	Tanga
QLA47022|Telok_Forest_virus	592	QLA47022	Telok Forest virus	MalP 72-4	1972	Macaca nemestrina	Malaysia	Asia	Tanjong Rabok
ACV95628|Tensaw_virus	15	ACV95628	Tensaw virus	TSV-FL06	2006	mosquito	USA	North America	Bunyamwera
ACV95629|Tensaw_virus	16	ACV95629	Tensaw virus	TSV-FE3-66FB	1963	mosquito	USA	North America	Bunyamwera
AXP32066|Tensaw_virus	436	AXP32066	Tensaw virus	A9-171B	1960	Anopheles crucians	"USA: Baldwin County, Alabama"	North America	Bunyamwera
YP_009666865|Tensaw_virus	670	YP_009666865	Tensaw virus	TSV-FE3-66FB	1963	mosquito	USA	North America	Bunyamwera
QLA47018|Termeil_virus	591	QLA47018	Termeil virus	BP 8090	1972	Ochlerotatus camptorhynchus	Australia	Oceania	Ungrouped
AJT55735|Tete_orthobunyavirus	176	AJT55735	Tete orthobunyavirus	SaAn 3518	1959	Ploceus cucullatus	"South Africa: Natal, Ndumu"	Africa	Tete
AKO90165|Tete_orthobunyavirus	213	AKO90165	Tete orthobunyavirus	SAAn 3518	1959	Ploceus cucullatus	South Africa	Africa	Tete
YP_009512923|Tete_orthobunyavirus	667	YP_009512923	Tete orthobunyavirus	SAAn 3518	1959	Ploceus cucullatus	South Africa	Africa	Tete
AXP32070|Thimiri_orthobunyavirus	437	AXP32070	Thimiri orthobunyavirus	VRC 66414	1963	Ardeola grayii (sykes)	"India: Thimiri, Walljah Tk., N. Arcot District"	Asia	Simbu
QCT81367|Thimiri_orthobunyavirus	532	QCT81367	Thimiri orthobunyavirus	cs0001	1979	Culicoides histrio	Australia	Oceania	Simbu
QLA47014|Timboteua_virus	590	QLA47014	Timboteua virus	BeAn 116382	1967	Mus musculus (Sentinal)	Brazil	South America	Guama
AXP32074|Tinaroo_virus	438	AXP32074	Tinaroo virus	CSIRO 153	1978	Culicoides brevitarsis	"Australia: Kairi Station, Queensland"	Oceania	Simbu
QCT81368|Tinaroo_virus	533	QCT81368	Tinaroo virus	cs153	1978	Culicoides brevitarsis	Australia	Oceania	Simbu
ARI46642|Tlacotalpan_virus	328	ARI46642	Tlacotalpan virus	61D240	1961	Mansonia titillans	Mexico	North America	Bunyamwera
AXP32078|Tlacotalpan_virus	439	AXP32078	Tlacotalpan virus	61D240	1961	Mansonia titillans	"Mexico: Tlacotalpan, Veracruz"	North America	Bunyamwera
AZM68665|Triniti_virus	463	AZM68665	Triniti virus	BeAn235467	1973	rodent	Brazil	South America	Ungrouped
AZM68666|Triniti_virus	464	AZM68666	Triniti virus	BeAr800584	2014	Ochlerotatus fulvus	Brazil	South America	Ungrouped
AZM68667|Triniti_virus	465	AZM68667	Triniti virus	TVRl7994	1955	Trichoprosopon sp.	Trinidad and Tobago	South America	Ungrouped
ALI93835|Trivittatus_virus	237	ALI93835	Trivittatus virus	Eklund	1948	Aedes trivittatus	"USA: Bismarck, ND"	North America	California
APA34119|Trivittatus_virus	293	APA34119	Trivittatus virus	AR42	2016	Aedes trivittatus	"USA: Denton County, Texas"	North America	California
YP_010085079|Trivittatus_virus	700	YP_010085079	Trivittatus virus	Eklund	1948	Aedes trivittatus	"USA: Bismarck, ND"	North America	California
AEZ35270|Tucunduba_virus	61	AEZ35270	Tucunduba virus	BeAr278	1955	Wyeomyia spp.	Brazil	South America	Wyeomyia
AQV08281|Tucunduba_virus	312	AQV08281	Tucunduba virus	BeAR544767	1996	Wyeomyia sp.	Brazil	South America	Wyeomyia
AQV08284|Tucunduba_virus	313	AQV08284	Tucunduba virus	BeAR643361	2001	Limatus flavisetosus	Brazil	South America	Wyeomyia
AQV08287|Tucunduba_virus	314	AQV08287	Tucunduba virus	BeAR701402	2006	Psorophora ferox	Brazil	South America	Wyeomyia
QLA46842|Turlock_orthobunyavirus	555	QLA46842	Turlock orthobunyavirus	USA 847-32	1954	Culex tarsalis	USA	North America	Turlock
AKO90167|Umbre_virus	214	AKO90167	Umbre virus	IG1424	1955	Culex bitaeniorhynchus	India	Asia	Turlock
QCY54400|Umbre_virus	535	QCY54400	Umbre virus	NIV809365	1980	NA	"India: Muduvadi District, Karnataka State"	Asia	Turlock
QCY54402|Umbre_virus	536	QCY54402	Umbre virus	NIV631308	1963	NA	"India: Vellore District, Tamil Nadu State"	Asia	Turlock
QCY54408|Umbre_virus	537	QCY54408	Umbre virus	NIV7441	1956	NA	"India: Kammavanpet District,Tamil Nadu State"	Asia	Turlock
QCY54413|Umbre_virus	538	QCY54413	Umbre virus	NIV16283	1957	NA	"India: Sathuperi District, Tamil Nadu State"	Asia	Turlock
QHA34087|Umbre_virus	548	QHA34087	Umbre virus	IP	2017	Homo sapiens	France	Europe	Turlock
QHA34169|Umbre_virus	549	QHA34169	Umbre virus	Marna	2019	Homo sapiens	France	Europe	Turlock
YP_009664559|Umbre_virus	669	YP_009664559	Umbre virus	IG1424	1955	Culex bitaeniorhynchus	India	Asia	Turlock
AHY22336|Utinga_virus	129	AHY22336	Utinga virus	Be An 84785	1965	Bradypus tridactylus	Brazil	South America	Simbu
YP_009666923|Utinga_virus	682	YP_009666923	Utinga virus	Be An 84785	1965	Bradypus tridactylus	Brazil	South America	Simbu
AHY22337|Utive_virus	130	AHY22337	Utive virus	Pan An 48878	1975	Bradypus variegatus	Panama	North America	Simbu
QLA46883|Vinces_virus	558	QLA46883	Vinces virus	24188	1976	sentinel hamster	Ecuador	South America	Group C
QLA46879|Weldona_virus	557	QLA46879	Weldona virus	77V5691	1976	pool of 120 midges	USA	North America	Tete
AKO90168|Witwatersrand_virus	215	AKO90168	Witwatersrand virus	SAAr 1062	1958	Culex rubinotus	South Africa	Africa	Ungrouped
AQM74139|Wolkberg_virus	301	AQM74139	Wolkberg virus	2562_SA3	2013	NA	NA	NA	Nyando
AQM74142|Wolkberg_virus	302	AQM74142	Wolkberg virus	2761_SA11	2013	NA	NA	NA	Nyando
AQM74145|Wolkberg_virus	303	AQM74145	Wolkberg virus	2763_SA20	2013	NA	NA	NA	Nyando
AQM74148|Wolkberg_virus	304	AQM74148	Wolkberg virus	2795_SA13	2013	NA	NA	NA	Nyando
AQM74151|Wolkberg_virus	305	AQM74151	Wolkberg virus	2812_SA8	2013	NA	NA	NA	Nyando
AQM74154|Wolkberg_virus	306	AQM74154	Wolkberg virus	2813_SA6	2013	NA	NA	NA	Nyando
AQM74157|Wolkberg_virus	307	AQM74157	Wolkberg virus	2818_SA12	2013	NA	NA	NA	Nyando
AQM74160|Wolkberg_virus	308	AQM74160	Wolkberg virus	2824_SA2	2013	NA	NA	NA	Nyando
AQM74163|Wolkberg_virus	309	AQM74163	Wolkberg virus	3011_SA14	2013	NA	NA	NA	Nyando
AQM74166|Wolkberg_virus	310	AQM74166	Wolkberg virus	3264_SA19	2013	NA	NA	NA	Nyando
AQM74169|Wolkberg_virus	311	AQM74169	Wolkberg virus	SM910_SA7	2013	NA	NA	NA	Nyando
YP_009362987|Wolkberg_virus	659	YP_009362987	Wolkberg virus	NA	NA	NA	NA	NA	Nyando
QLA47008|Wongal_virus	589	QLA47008	Wongal virus	MRM 168	1960	Culex annulirostris	Australia	Oceania	Koongol
AJG39233|Wuhan_Louse_Fly_Virus_1	166	AJG39233	Wuhan Louse Fly Virus 1	BFJSC-10	2012	unidentified Hippoboscoidea	China	Asia	Nyando
AXP32082|Wyeomyia_orthobunyavirus	440	AXP32082	Wyeomyia orthobunyavirus	Original	1940	Wyeomyia melanocephala	Colombia: El Horizonte	South America	Wyeomyia
YP_009512925|Wyeomyia_orthobunyavirus	668	YP_009512925	Wyeomyia orthobunyavirus	original	1940	NA	Colombia	South America	Wyeomyia
AEZ35273|Wyeomyia_orthobunyavirus	62	AEZ35273	Wyeomyia orthobunyavirus	original	1940	Wyeomyia melanocephala	Colombia	South America	Wyeomyia
AEZ35278|Wyeomyia_virus	63	AEZ35278	Wyeomyia virus	TRVL8349	1955	Psorophora albipes	Trinidad and Tobago	South America	Wyeomyia
AEZ35281|Wyeomyia_virus	64	AEZ35281	Wyeomyia virus	Darien	1964	Homo sapiens	Panama	North America	Wyeomyia
AGA54138|Wyeomyia_orthobunyavirus	79	AGA54138	Wyeomyia orthobunyavirus	original-2	1940	Wyeomyia melanocephala	Colombia	South America	Wyeomyia
AXP32085|Yaba-7_virus	441	AXP32085	Yaba-7 virus	Yaba 7	1963	Mansonia africana	Nigeria	Africa	Simbu
AMR73398|Yacaaba_virus	265	AMR73398	Yacaaba virus	NB6028	1970	Aedes vigilax	Australia	Oceania	Ungrouped
AXP33562|Zegla_virus	446	AXP33562	Zegla virus	BT5012	1961	Sigmodon hispidus	Panama	North America	Patois
QLA46872|Zegla_virus	556	QLA46872	Zegla virus	BT 5012	1961	Sigmodon hispidus	Panama	North America	Patois
YP_009667038|Zegla_virus	695	YP_009667038	Zegla virus	BT5012	1961	Sigmodon hispidus	Panama	North America	Patois
