tip	date	distance	residual
Triniti|1973	1973.0	1.0048559081496895	-0.0048716196181908256
Triniti|2014	2014.0	1.0045760281496896	0.07256902559768608
Triniti|1955	1955.0	0.9449583481496895	-0.09889038581052678
Boraceia|1965	1965.0	0.9931845281496895	-0.03170798014811782
Boraceia|1962	1962.0	0.9934408281496896	-0.037138547846840675
Anopheles_B|1940	1940.0	0.9522067581496896	-0.12007631430414012
Tacaiuma|1955	1955.0	1.2112535881496895	0.16740485418947326
Tacaiuma|1999	1999.0	1.2171530281496896	0.25671168710407266
Tacaiuma|1975	1975.0	1.1333271181496896	0.1273908355142912
Lukuni|1976	1976.0	1.1220718181496896	0.11803115808053222
Las_Maloyas|1980	1980.0	1.0811779881496895	0.08471981834549558
Anopheles_A|1940	1940.0	0.9856050281496895	-0.08667804430414017
Lukuni|1955	1955.0	1.0450802581496896	0.0012315241894733653
Bangui|1970	1970.0	0.8015505081496895	-0.2138638873169133
Bangui|2017	2017.0	0.8064159181496895	-0.11990421670359153
Nyangole|2013	2013.0	0.8189747181496896	-0.11492790696855493
Tataguine|1971	1971.0	0.9872910618503105	-0.026227711050051394
Tataguine|1966	1966.0	0.9872902518503105	-0.035706633881255834
Tataguine|1972	1972.0	0.9915820318503105	-0.02004111848381085
Tataguine|1979	1979.0	0.9738446518503104	-0.02450914052012443
Okola|1964	1964.0	0.9406025618503103	-0.08618556901373797
Tanga|1962	1962.0	0.8715770318503103	-0.15900234414621994
Bunyamwera|1943	1943.0	1.4182687218503107	0.35167251709520353
